etapa,distrito,expediente,fecha_inicio,fecha_emision,modalidad,zonificacion,altura,codigo_catastral,uso,valorizacion,solicitante
licencia,CERCADO DE LIMA,31999-2023,20230221,20230601,C,ZTE-2,11 PISOS Y AZOTEA,04-039-003,COMERCIO Y OFICINAS,"S/.16,987.34",COMPAÑÍA DE PROMOCIÓN TURÍSTICA S.A.C. Y URBANIZACIONES POPULARES S.A.C.
licencia,CERCADO DE LIMA,102868-2023,20230607,20230608,A,RDM,--,12-038-021,VIVIENDA UNIFAMILIAR,"S/.83,874.28",WILE YON MEZA MARAVI
licencia,CERCADO DE LIMA,104957-2023,20230609,20230612,A,ZTE-2,--,16-014-010,,"S/.4,137.12",MIU LEI JEAN CARLO
licencia,CERCADO DE LIMA,10630-2023,20230117,20230613,B,RDM,--,17-062-001,VIVIENDA MULTIFAMILIAR,"S/.215,741.75",GUTIERREZ FALCON JANET DIANA
licencia,CERCADO DE LIMA,106343-2023,20230613,20230615,C,CM,2 PISOS,20-070-013,COMERCIO,"S/.7,085.00",WONG LAU FELIZ ANGEL
licencia,CERCADO DE LIMA,108394-2023,20230615,20230619,C,ZTE-2,3 PISOS Y AZOTEA,04-028-013,COMERCIO Y OFICINAS,"S/.497,493.02",DANI MED IMPORT S.A.C.
licencia,CERCADO DE LIMA,111371-2023,20230621,20230622,A,VT,--,14-020-005,--,"S/.28,203.23",EFINOX S.A.C.
licencia,CERCADO DE LIMA,201044-2023,20221130,20230622,C,RDM,6 PISOS,12-054-005,VIVIENDA MULTIFAMILIAR,"S/.489,636.02",CASTRO BRAVO MARTIN EDUARDO NICOLAS
licencia,CERCADO DE LIMA,205728-2022,20221207,20230622,C,ZTE-1,1 PISO,05-029-010,"COMERCIO
(CAFETERÍA)","S/.268,925.00",MAZZONE BRUZZESE NICODEMO
licencia,CERCADO DE LIMA,111754-2023,20230622,20230623,A,RDM,--,13-004-032,VIVIENDA UNIFAMILIAR,"S/.2,295.60",YSAAC MARCIAL SALMA BIRBUETT Y MARLON JULIO MORALES BIRBUETT
licencia,CERCADO DE LIMA,113902-2023,20230626,20230628,C,RDM,5 PISOS Y AZOTEA,19-071-014,VIVIENDA MULTIFAMILIAR,"S/.103,997.09",BORJA CALLE DANNY RICHARD
licencia,CERCADO DE LIMA,78232-2022,20230518,20230704,C,RDM,5 PISOS + AZOTEA,19-051-021,VIVIENDA MULTIFAMILIAR,"S/.523,957.06",COLBERT NIKOLAI PUELLES RUIZ Y GIL GERARDO PUELLES RUIZ
licencia,CERCADO DE LIMA,115418-2023,20230628,20230705,C,CM,SÓT. + 17 PISOS Y AZOTEA,20-078-007,VIVIENDA MULTIFAMILIAR,"S/.57,804.90",CHECOR PETIT THOUARS SAC
licencia,CERCADO DE LIMA,115501-2023,20230628,20230706,A,RDM,---,03-044-008,---,"S/.110,177.16",URSULA LUCY LOPEZ CHUMPI
licencia,CERCADO DE LIMA,71565-2023,20230424,20230710,C,ZTE-2,2 PISOS,15-025-014,---,"S/.63,314.83",LEON ZORRILLA GIAN MICHAEL Y LEON ZORRILLA LESLIE SAMANTA
licencia,CERCADO DE LIMA,120972-2023,20230710,20230713,A,RDA,---,20-032-013,---,"S/.20,000.00",SERVICIO SOCIAL DEL DIRECTOR Y SUPERVISOR
licencia,CERCADO DE LIMA,123664-2023,20230713,20230717,A,CZ,---,20-084-019,VIVIENDA UNIFAMILIAR,"S/.78,491.24",IRIS GUNIVET GAVINO GARCIA
licencia,CERCADO DE LIMA,46773-2023,20230315,20230717,C,ZTE-3,3 PISOS,06-051-008,COMERCIO Y VIVIENDA MULTIFAMILIAR,"S/.269,185.09",ADRIANO CARDENAS GROUP S.A.C.
licencia,CERCADO DE LIMA,66556-2023,20230414,20230717,C,RDM,4 PISOS + TECHO,06-051-008,VIVIENDA MULTIFAMILIAR,"S/.309,535.10",BECERRA AREVALO MIGUEL ANGEL
licencia,CERCADO DE LIMA,123624-2023,20230713,20230717,C,RDM,10 PISOS Y AZOTEA,12-022-015,VIVIENDA MULTIFAMILIAR,"S/.1,818,135.66",RAEDAM S.A.C.
licencia,CERCADO DE LIMA,61694-2023,20230405,20230720,B,RDM,---,17-026-005,VIVIENDA MULTIFAMILIAR,"S/.34,118.70",YOSI OSWALDO CAMPOMANES CASTILLO
licencia,CERCADO DE LIMA,19018-2023,20230131,20230726,D,CM,SÓT. + 3 PISOS Y TECHO,09-057-009,COMERCIO,"S/.2,301,906.38",HUANCOR PERU S.A.C.
licencia,CERCADO DE LIMA,131516-2023,20230726,20230801,A,CZ,--,03-044-008,--,"S/.6,513.81",ALICIA CALLA LARICO
licencia,CERCADO DE LIMA,056284-2023,20230329,20230802,B,RDM,--,02-053-036,--,"S/.25,574.84",VIVANCO MEDINA ROSA ADELAIDA
licencia,CERCADO DE LIMA,035277-2023,20230224,20230802,B,RDM,--,17-068-009,VIVIENDA UNIFAMILIAR,"S/.411,700.21",HINOJOSA GALINDO FREDY
licencia,CERCADO DE LIMA,133983-2023,20230801,20230802,A,VT,--,13-030-001,--,"S/.49,895.83",ASOCIACIÓN IGLESIA ADVENTISTA DEL SÉPTIMO DÍA PERUANA DEL NORTE
licencia,CERCADO DE LIMA,111189-2023,20230621,20230802,D,CM,19.28,"08-004-002
08-004-008",INDUSTRIA,"S/.1,160,790.87",SAN MIGUEL INDUSTRIAS PET S.A.
licencia,CERCADO DE LIMA,134311-2023,20230801,20230807,"C
(REVISOR URBANO)",RDA,--,20-038-004,VIVIENDA MULTIFAMILIAR,"S/.4,663,257.57",ANDES ASESORIA Y CORRETAJE INMOBILIARIOS S.A.C
licencia,CERCADO DE LIMA,135810-2023,20230803,20230808,A,CM,--,10-007-001,--,"S/.109,806.00",ASOCIACIÓN DE COMERCIANTES PROPIETARIOS DE GALERÍA FERIAL LAS MALVINAS
licencia,CERCADO DE LIMA,041664-2023,20230307,20230809,B,RDA,--,13-048-001,VIVIENDA UNIFAMILIAR,"S/.87,611.00",VELASCO CERRON LIA CANDY Y TOVAR ROCA JEFREE
licencia,CERCADO DE LIMA,123033-2023,20230712,20230809,D,OU,6.8,20-042-001,EDUCACIÓN,"S/.13,439.06",GOBIERNO DE LA REPÚBLICA ITALIANA
licencia,CERCADO DE LIMA,137675-2023,20230807,20230810,A,CZ,--,20-040-014,VIVIENDA UNIFAMILIAR,"S/.126,000.00",MARILUZ HUANCACHOQUE DÍAZ
licencia,CERCADO DE LIMA,140051-2023,20230810,20230811,A,RDM,--,17-063-010,--,"S/.43,395.49",ANA KARINA ASTUDILLO CACEDA
licencia,CERCADO DE LIMA,143176-2023,20230816,20230817,A,VT,--,18-031-001,--,"S/.297,466.03",IMPORT & EXPORT OSCAR S.A.C.
licencia,CERCADO DE LIMA,101797-2023,20230605,20230817,C,ZTE-1,32.09,05-058-014,COMERCIO (SUPERMERCADO),"S/.64,966.00",HIPERMERCADOS TOTTUS S.A.
licencia,CERCADO DE LIMA,089853-2023,20230516,20230824,D,I2,--,09-002-001,INDUSTRIA LIVIANA,"S/.801,991.43",ARCA CONTINENTAL LINDLEY S.A.
licencia,CERCADO DE LIMA,026676-2023,20230210,20230824,C,ZTE-1,5.53,05-028-002,COMERCIO (VENTA AL POR MENOR DE PRENDAS DE VESTIR Y CAFETERÍA),"S/.383,938.85",BUSTAMANTE MEJICO MARINA AURORA
licencia,CERCADO DE LIMA,090471-2023,20230517,20230828,C,RDM,10.9,13-003-031,VIVIENDA MULTIFAMILIAR Y COMERCIO,"S/.350,920.36",TORRES POZO SANDRO EDWIN Y ALVARADO CORREA ELISA ELIZABETH
licencia,CERCADO DE LIMA,202838-2022,20221202,20230828,D,ZTE-2,4,07-026-031,ESTACIÓN DE SERVICIO,"S/.61,719.04",VAL TRADING S.A.C.
licencia,CERCADO DE LIMA,153187-2023,20230831,20230907,B,RDM,--,19-036-043,VIVIENDA MULTIFAMILIAR,"S/.1,105,845.21",LOZANOS´S CONSTRUCTION S.A.C.
licencia,CERCADO DE LIMA,151295-2023,20230828,20230907,C,CM,03 PISOS Y AZOTEA,10-023-020,COMERCIO,"S/.7,451,898.95",ASOCIACIÓN DE COMERCIANTES PROPIETARIOS DE GALERÍA FERIAL
licencia,CERCADO DE LIMA,41105-2023,20230307,20230912,C,RDM,10 PISOS,19-036-025,VIVIENDA MULTIFAMILIAR,"S/.2,005,378.82",GUIDO RODRIGO LUCIONI STRUQUE
licencia,CERCADO DE LIMA,119873-2023,20230707,20230915,B,CZ,--,18-001-028,--,"S/.4,444,789.25",INVERSIONES INMOBILIARIAS DEL IGUAZU S.A.
licencia,CERCADO DE LIMA,162734-2023,20230914,20230915,B,RDM,--,17-058-012,VIVIENDA MULTIFAMILIAR,"S/.313,014.54",JESUS ALEXANDER REVAZA ROMAN
licencia,CERCADO DE LIMA,61863-2023,20230405,20230918,C,ZTE-1,11 PISOS,05-046-003,COMERCIO,"S/.75,294.37",INMOBILIARIA E INVERSIONES MAR DEL SUR S.A.
licencia,CERCADO DE LIMA,130416-2023,20230725,20230920,B,CM,--,10-021-010,VIVIENDA UNIFAMILIAR,"S/.144,259.54",JESSICA DEICY CALDERON GUTIERREZ
licencia,CERCADO DE LIMA,165114-2023,20230918,20230920,C,CM,22 PISOS Y AZOTEA,20-068-009,VIVIENDA MULTIFAMILIAR,"S/.27,590,415.39",INMOBILIARIA PARQUE CENTRAL S.A.C.
licencia,CERCADO DE LIMA,105143-2023,20230609,20230921,C,ZTE-3,01 PISO,06-051-008,--,"S/.96,576.63",ADRIANO CARDENAS GROUP S.A.C.
licencia,CERCADO DE LIMA,67667-2023,20230417,20230925,C,CZ,23 PISOS Y AZOTEA,18-001-028,VIVIENDA MULTIFAMILIAR,"S/.63,330,058.71",INVERSIONES INMOBILIARIAS DEL IGUAZU S.A.
licencia,CERCADO DE LIMA,172397-2023,20230927,20231002,C,CV,02 SÓT. + 11 PISOS Y AZOTEA,17-041-005,COMERCIO Y CONJUNTO RESIDENCIAL,"S/ 270,813.36",PROYECTO CANTABRIA 03 S.A.C.
licencia,CERCADO DE LIMA,104086-2023,20230608,20231002,C,ZTE-3,SÓT. + 03 PISOS,06-064-001,COMERCIO,"S/ 387,581.42",SOC. CONYUGAL SR. YANG HUIRONG Y SRA. LI SHUNFA
licencia,CERCADO DE LIMA,178142-2023,20231005,20231011,A,RDM,--,11-016-019,--,"S/ 49,029.74",FORCE HOUSE PROMOTORES INMOBILIARIOS S.A.C
licencia,CERCADO DE LIMA,166992-2023,20230929,20231011,C,CV,4 PISOS,17-064-010,VIVIENDA MULTIFAMILIAR,"S/ 331,856.16",QUINTEROS CHAMORRO JOSÉ LUIS Y OTROS
licencia,CERCADO DE LIMA,73808-2023,20230427,20231012,C,ZTE-3,7 PISOS,06-076-009,COMERCIO Y ALMACEN,"S/ 60,522.44",WU CHANG SHIH YUIN
licencia,CERCADO DE LIMA,180271-2023,20231010,20231013,A,RDA,--,20-053-002,--,"S/ 269,573.55",PLUSVALIA CONSULTORES INMOBILIARIOS S.A.
licencia,CERCADO DE LIMA,181296-2023,20231010,20231013,A,CM,--,08-065-006,--,"S/ 701,121.98",LOS PORTALES DEPARTAMENTOS S.A.C.
licencia,CERCADO DE LIMA,185279-2023,20231016,20231019,C,CM,01 SÓT. + 22 PISOS Y AZOTEA,09-059-005,"CONJUNTO RESIDENCIAL
ETAPA 4","S/ 56,313,866.77",BESCO S.A.C.
licencia,CERCADO DE LIMA,185285-2023,20231016,20231019,C,CM,01 SÓT. + 22 PISOS Y AZOTEA,09-059-005,"CONJUNTO RESIDENCIAL
ETAPA 5","S/ 18,258,818.40",BESCO S.A.C.
licencia,CERCADO DE LIMA,185291-2023,20231016,20231019,C,CM,01 SÓT. + 22 PISOS Y AZOTEA,09-059-005,"CONJUNTO RESIDENCIAL
ETAPA 6","S/ 18,258,805.57",BESCO S.A.C.
licencia,CERCADO DE LIMA,185294-2023,20231016,20231019,C,CM,01 SÓT. + 22 PISOS Y AZOTEA,09-059-005,"CONJUNTO RESIDENCIAL
ETAPA 7","S/ 18,543,502.57",BESCO S.A.C.
licencia,CERCADO DE LIMA,185298-2023,20231016,20231019,C,CM,01 SÓT. + 22 PISOS Y AZOTEA,09-059-005,"CONJUNTO RESIDENCIAL
ETAPA 8","S/ 22,960,968.41",BESCO S.A.C.
licencia,CERCADO DE LIMA,186429-2023,20231017,20231020,C,CZ,03 SÓT. + 20 PISOS,20-065-022,CONJUNTO RESIDENCIAL,"S/ 3,100.95",TM GESTIÓN INMOBILIARIA S.A.C.
licencia,CERCADO DE LIMA,188906-2023,20231020,20231025,C,ZTE-1,07 PISOS,05-052-011,VIVIENDA MULTIFAMILIAR Y OFICINAS,"S/ 68,200.00",QUADRO´S INMOBILIARIA S.A.C.
licencia,CERCADO DE LIMA,143571-2023,20230816,20231027,C,ZTE-2,03 SÓT. + 04 PISOS,06-053-016,GALERÍA COMERCIAL,"S/ 92,400,140.88",COOPERATIVA DE SERVICIOS ESPECIALES MERCADO CENTRAL LTDA
licencia,CERCADO DE LIMA,144342-2023,20230817,20231108,D,I2,2 PISOS,08-044-029,"COMERCIO, TALLERES Y OFICINAS","S/ 13,892.00",DETROIT POWER SYSTEM PERU LIMITADA S.R.L.
licencia,CERCADO DE LIMA,200205-2023,20231106,20231113,A,RDA,--,20-029-004,--,"S/ 38,348.62",JUAN DE LA CRUZ CERCADO Y GLORIA CELINA RAMIREZ RIVERA
licencia,CERCADO DE LIMA,203365-2023,20231109,20231113,B,RDM,--,19-029-012,VIVIENDA MULTIFAMILIAR,"S/ 336,309.81",CRM SERVICIOS GENERALES E.I.R.L.
licencia,CERCADO DE LIMA,203322-2023,20231109,20231113,B,RDM,--,17-063-010,VIVIENDA MULTIFAMILIAR,"S/ 732,115.30",ANA KARINA ASTUDILLO CACEDA
licencia,CERCADO DE LIMA,83986-2023,20230508,20231114,C,ZTE-2,2 SÓT. + 2 PISOS,06-046-025,COMERCIO Y OFICINA,"S/ 1,122,037.32","INVERSIONES UMBRIEL S.A.C.
NORANDINO S.A.C.
INVERSIONES TOOLMAX S.A.C."
licencia,CERCADO DE LIMA,78256-2023,20230504,20231114,C,ZTE-1,1 PISO + MEZZANINE,05-071-002,SERVICIO DE ENTIDADES FINANCIERAS BANCARIAS (OFICINA),"S/ 558,845.07",COMPAÑÍA INMOBILIARIA GUIZADO HNOS S.A.
licencia,CERCADO DE LIMA,207470-2023,20231115,20231120,C,ZTE-1,SÓT. + 3 PISOS Y AZOTEA,05-027-013,COMERCIO,"S/ 72,020.00",DELOSI S.A.
licencia,CERCADO DE LIMA,204030-2023,20231110,20231120,D,CM,12 PISOS,12-002-011,"EDUCACIÓN
(UNIDAD DE APOYO DE ENSEÑANZA)","S/ 13,059,066.15",UNIVERSIDAD TECNOLÓGICA DEL PERÚ S.A.C.
licencia,CERCADO DE LIMA,115348-2023,20230628,20231121,C,ZTE-2,2 PISOS Y AZOTEA,06-029-001,AGENCIA BANCARIA,"S/ 49,856.50",BANCO DE CREDITO DEL PERU
licencia,CERCADO DE LIMA,208322-2023,20231116,20231127,A,RDM,--,02-055-001,--,"S/ 26,653.37",BRIGGITE CONSUELO PEREZ CONDORI Y OTROS
licencia,CERCADO DE LIMA,84600-2022,20220527,20231129,D,ZTE-1,2 PISOS,05-010-020,TIENDA COMERCIAL Y OFICINAS ADMINISTRATIVAS,"S/ 229,451.39",ASOCIACIÓN ANDINA DE ARTESANOS - ASANDINA
licencia,CERCADO DE LIMA,210753-2023,20231120,20231129,C,CM,SÓT. + 22 PISOS + AZOTEA,09-059-005,CONJUNTO RESIDENCIAL - ETAPA 1,"S/ 433,486.54",BESCO S.A.C.
licencia,CERCADO DE LIMA,229931-2023,18.12.2023,21.12.2023,C,CM,1 SÓT. + 22 PISOS + AZOTEA,09-059-005,CONJUNTO RESIDENCIAL - ETAPA 2,"S/ 244,996.70",BESCO S.A.C.
licencia,CERCADO DE LIMA,230547-2023,18.12.2023,21.12.2023,C,CZ-RDA,5 SÓT. + 31 PISOS,17-038-027,"VIVIENDA MULTIFAMILIAR, CONJUNTO RESIDENCIAL Y COMERCIO","S/ 28'213,264.41",INVERSIONES FIDENZA S.A.C.
licencia,CERCADO DE LIMA,223592-2023,06.12.2023,21.12.2023,C,ZTE-2,5 PISOS+ AZOTEA,06-030-004,GALERÍA COMERCIAL,"S/ 48,411.00",VISIONCORP S.A.C.
licencia,CERCADO DE LIMA,223603-2023,06.12.2023,21.12.2023,C,ZTE-3,3 SÓT. + 3 PISOS,06-048-043,OFICINAS,"S/ 8,094.93",INVERSIONES CORPORATIVAS WANCA S.A.C.
licencia,CERCADO DE LIMA,223647-2023,06.12.2023,22.12.2023,A,VT,--,14-044-012,--,"S/ 59,946.68","DANITZA MAYRA LOZANO ESPIRITU
EDGAR VALLADOLID AYALA"
licencia,CERCADO DE LIMA,224943-2023,11.12.2023,29.12.2023,D,CM,1 SÓT. + 8 PISOS + AZOTEA,10-041-013,"CLINICA
(SALUD)","S/ 685,327.23",CENTROS DE SALUD PERUANOS S.A.C.
licencia,CERCADO DE LIMA,197899-2023,28.11.2022,29.12.2023,C,ZTE-1,2 PISOS + CAMPANARIO,05-004-005,IGLESIA-CONVENTO,"S/ 176,348.49",CONVENTO DE SANTO DOMINGO DE LIMA
